"browser","version","useragent_string","first_visit","last_visit","detail_url"
"Chrome","134.0.6998.166","Mozilla/5.0 (Windows NT 11.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.166 Safari/537.36",2025-04-24 08:04:00,2026-01-13 09:19:00,"/Chrome134.0.6998.166_id_20018.php"
"Chrome","122.0.6099.71","Mozilla/5.0 (Windows 7 Enterprise; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6099.71 Safari/537.36",2025-04-25 04:55:00,2026-01-01 11:48:00,"/Chrome122.0.6099.71_id_20012.php"
"Chrome","118.0.5975.80","Mozilla/5.0 (Windows Server 2012 R2 Standard; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.5975.80 Safari/537.36",2025-04-24 02:44:00,2025-09-07 05:14:00,"/Chrome118.0.5975.80_id_20017.php"
"Chrome","118.0.5957.0","Mozilla/5.0 (X11; Linux x86_64; CentOS Ubuntu 19.04) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.5957.0 Safari/537.36",2025-04-23 10:24:00,2026-01-09 06:20:00,"/Chrome118.0.5957.0_id_20020.php"
"Chrome","114.0.5756.197","Mozilla/5.0 (Windows NT 10.0; WOW64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5756.197 Safari/537.36",2025-03-07 08:55:00,2025-12-26 05:23:00,"/Chrome114.0.5756.197_id_19993.php"
"Chrome","113.0.5672","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672 Safari/537.36",2025-03-07 01:43:00,2025-12-13 04:32:00,"/Chrome113.0.5672_id_19992.php"
"Chrome","106.0.3713.147","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.3713.147 Safari/537.36",2025-04-25 08:38:00,2026-01-08 03:56:00,"/Chrome106.0.3713.147_id_20013.php"
"Chrome","104.0.5112.79","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.79 Safari/537.36",2022-08-10 12:40:00,2025-12-13 04:33:00,"/Chrome104.0.5112.79_id_19986.php"
"Chrome","104.0.0.0","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",2022-08-10 09:18:00,2025-12-09 02:15:00,"/Chrome104.0.0.0_id_19988.php"
"Chrome","104.0.0.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",2022-08-09 04:46:00,2025-12-06 04:55:00,"/Chrome104.0.0.0_id_19989.php"
"Chrome","103.0.5060.53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36",2022-08-10 11:50:00,2025-12-23 12:06:00,"/Chrome103.0.5060.53_id_19987.php"
"Chrome","99.0.4844.84","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36",2022-03-30 10:36:00,2025-06-18 05:05:00,"/Chrome99.0.4844.84_id_19983.php"
"Chrome","76.0.3208.186","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3208.186 Safari/537.36",2025-04-23 08:32:00,2025-12-07 01:51:00,"/Chrome76.0.3208.186_id_20019.php"
"Chrome","74.0.3837.131","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3837.131 Safari/537.36",2025-04-24 04:47:00,2025-12-06 08:16:00,"/Chrome74.0.3837.131_id_20016.php"
"Chrome","71.0.3602.191","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3602.191 Safari/537.36",2025-02-09 06:16:00,2026-01-08 03:57:00,"/Chrome71.0.3602.191_id_20009.php"
"Chrome","70.0.3538.77","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",NA,2026-01-13 02:27:00,"/Chrome70.0.3538.77_id_19919.php"
"Chrome","64.0.3285.174","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3285.174 Safari/537.36",2025-04-25 05:37:00,2025-11-16 09:55:00,"/Chrome64.0.3285.174_id_20015.php"
"Chrome","55.0.2919.83","Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2919.83 Safari/537.36",2020-03-17 11:33:00,2025-12-15 05:14:00,"/Chrome55.0.2919.83_id_19967.php"
"Chrome","54.0.2866.71","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2866.71 Safari/537.36",2020-03-17 08:34:00,2024-12-16 04:14:00,"/Chrome54.0.2866.71_id_19968.php"
"Chrome","53.0.2820.59","Mozilla/5.0 (X11; Ubuntu; Linux i686 on x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2820.59 Safari/537.36",2020-04-11 04:35:00,2025-10-25 01:03:00,"/Chrome53.0.2820.59_id_19965.php"
"Chrome","52.0.2762.73","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2762.73 Safari/537.36",2020-03-16 07:35:00,2024-11-12 06:52:00,"/Chrome52.0.2762.73_id_19969.php"
"Chrome","49.0.2656.18","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2656.18 Safari/537.36",2020-04-11 04:35:00,2025-09-20 06:22:00,"/Chrome49.0.2656.18_id_19964.php"
"Chrome","44.0.2403.155","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/44.0.2403.155 Safari/537.36",2018-10-24 01:30:00,2025-02-20 08:25:00,"/Chrome44.0.2403.155_id_19941.php"
